session_id,scenario_id,harmony_version,data_provenance,synthetic,generation_seed,template_session_id_used,validation_status,grounding_strength
SYNTH_KB15_V2_7947_FWD,KB15,V2,SYNTHETIC_SUPPORT,1,20260920,20260912_101227_816_V2_GPS_TO_VPS_NORMAL_DEV_E9C2,VALID,"WEAK (structural placeholder): two vps_valid=0 dropout episodes use the existing recovery_count column, which is NEVER >0 anywhere in the real 105-trial dataset -- this exercises a defined-but-never-observed mechanism, not a measured crowd-occlusion effect."
SYNTH_KB23_V2_4565_FWD,KB23,V2,SYNTHETIC_SUPPORT,1,20260920,20260912_101227_816_V2_GPS_TO_VPS_NORMAL_DEV_E9C2,VALID,"WEAK (structural placeholder): one vps_valid=0 dropout episode, same never-observed recovery_count mechanism as KB15, distinguished from it only by being a single (not recurring) episode per the scenario definition."
SYNTH_KB26_V2_1702_FWD,KB26,V2,SYNTHETIC_SUPPORT,1,20260920,20260912_101227_816_V2_GPS_TO_VPS_NORMAL_DEV_E9C2,VALID,"MODERATE: wrong_way_count=1 is this dataset's own real maximum ever recorded (105 real trials, max=1, mean=0.0095) and cadence is slowed -- both real-anchored, but 'help_request'/'trust' measures are NOT_REPRESENTED (no such column exists)."
SYNTH_KB27_V2_3028_FWD,KB27,V2,SYNTHETIC_SUPPORT,1,20260920,20260912_101227_816_V2_GPS_TO_VPS_NORMAL_DEV_E9C2,VALID,"MODERATE: wrong_way_count=0 (the real mode/median) and this version's own real fastest-observed cadence (same technique as KB21) -- both real-anchored, but the AR-on/off comparison arm is NOT_REPRESENTED (no such column or comparison condition exists)."
SYNTH_KB29_V2_8524_FWD,KB29,V2,SYNTHETIC_SUPPORT,1,20260920,20260912_101227_816_V2_GPS_TO_VPS_NORMAL_DEV_E9C2+20260912_060829_927_V2_GPS_TO_VPS_NORMAL_DEV_F796,VALID,"STRONG structurally / per-segment: each of the 3 segments (OUT->IN, IN->OUT, OUT->IN) reuses the exact same real-per-version-distribution construction as step6's KB01 and step4's KB02 reverse segment, just chained in one continuous session. Per config.yaml, 'MULTI_HANDOVER' has no direction entry, so the pipeline's own detect_handover correctly returns evaluable=False for this trial -- exactly as spec Section 9 requires (excluded from HSR/FHR denominators), which is why handover_attempts_evaluable=0 in the summary even though 2 handovers structurally occurred."
SYNTH_KB09_V3_7039_FWD,KB09,V3,SYNTHETIC_SUPPORT,1,20260920,20260912_080953_034_V3_GPS_TO_VPS_NORMAL_DEV_E70A,VALID,STRONG (reuses a real per-version NONE-direction trial's own path in original order; identical construction rigor to step6's KB01)
SYNTH_KB12_V3_6467_FWD,KB12,V3,SYNTHETIC_SUPPORT,1,20260920,20260912_032259_625_V3_GPS_TO_VPS_NORMAL_DEV_D0DA,VALID,"WEAK (structural placeholder): gps_accuracy_m during the outdoor approach is forced to this dataset's own real worst-ever-recorded value (24.873m, from a real V1 trial) as a stand-in for rain -- the magnitude is real, but its attribution to 'rain' specifically is NOT measured anywhere in this dataset."
SYNTH_KB13_V3_2725_FWD,KB13,V3,SYNTHETIC_SUPPORT,1,20260920,20260912_032259_625_V3_GPS_TO_VPS_NORMAL_DEV_D0DA,VALID,"WEAK (structural placeholder): VPS confidence during scanning is held at this version's own real minimumVpsConfidence config threshold (a real, already-established per-version value) as a stand-in for glare-degraded scanning -- the threshold is real, its attribution to 'glare' is NOT measured."
SYNTH_KB15_V3_8553_FWD,KB15,V3,SYNTHETIC_SUPPORT,1,20260920,20260912_032259_625_V3_GPS_TO_VPS_NORMAL_DEV_D0DA,VALID,"WEAK (structural placeholder): two vps_valid=0 dropout episodes use the existing recovery_count column, which is NEVER >0 anywhere in the real 105-trial dataset -- this exercises a defined-but-never-observed mechanism, not a measured crowd-occlusion effect."
SYNTH_KB23_V3_1350_FWD,KB23,V3,SYNTHETIC_SUPPORT,1,20260920,20260912_032259_625_V3_GPS_TO_VPS_NORMAL_DEV_D0DA,VALID,"WEAK (structural placeholder): one vps_valid=0 dropout episode, same never-observed recovery_count mechanism as KB15, distinguished from it only by being a single (not recurring) episode per the scenario definition."
SYNTH_KB26_V3_3753_FWD,KB26,V3,SYNTHETIC_SUPPORT,1,20260920,20260912_032259_625_V3_GPS_TO_VPS_NORMAL_DEV_D0DA,VALID,"MODERATE: wrong_way_count=1 is this dataset's own real maximum ever recorded (105 real trials, max=1, mean=0.0095) and cadence is slowed -- both real-anchored, but 'help_request'/'trust' measures are NOT_REPRESENTED (no such column exists)."
SYNTH_KB27_V3_5436_FWD,KB27,V3,SYNTHETIC_SUPPORT,1,20260920,20260912_032259_625_V3_GPS_TO_VPS_NORMAL_DEV_D0DA,VALID,"MODERATE: wrong_way_count=0 (the real mode/median) and this version's own real fastest-observed cadence (same technique as KB21) -- both real-anchored, but the AR-on/off comparison arm is NOT_REPRESENTED (no such column or comparison condition exists)."
SYNTH_KB29_V3_6180_FWD,KB29,V3,SYNTHETIC_SUPPORT,1,20260920,20260912_032259_625_V3_GPS_TO_VPS_NORMAL_DEV_D0DA+20260912_100055_923_V3_GPS_TO_VPS_NORMAL_DEV_5573,VALID,"STRONG structurally / per-segment: each of the 3 segments (OUT->IN, IN->OUT, OUT->IN) reuses the exact same real-per-version-distribution construction as step6's KB01 and step4's KB02 reverse segment, just chained in one continuous session. Per config.yaml, 'MULTI_HANDOVER' has no direction entry, so the pipeline's own detect_handover correctly returns evaluable=False for this trial -- exactly as spec Section 9 requires (excluded from HSR/FHR denominators), which is why handover_attempts_evaluable=0 in the summary even though 2 handovers structurally occurred."
SYNTH_KB09_V4_8420_FWD,KB09,V4,SYNTHETIC_SUPPORT,1,20260920,20260910_065220_824_V4_GPS_TO_VPS_NORMAL_DEV_C853,VALID,STRONG (reuses a real per-version NONE-direction trial's own path in original order; identical construction rigor to step6's KB01)
SYNTH_KB12_V4_4822_FWD,KB12,V4,SYNTHETIC_SUPPORT,1,20260920,20260915_042529_132_V4_GPS_TO_VPS_NORMAL_DEV_72A2,VALID,"WEAK (structural placeholder): gps_accuracy_m during the outdoor approach is forced to this dataset's own real worst-ever-recorded value (24.873m, from a real V1 trial) as a stand-in for rain -- the magnitude is real, but its attribution to 'rain' specifically is NOT measured anywhere in this dataset."
SYNTH_KB13_V4_3045_FWD,KB13,V4,SYNTHETIC_SUPPORT,1,20260920,20260915_042529_132_V4_GPS_TO_VPS_NORMAL_DEV_72A2,VALID,"WEAK (structural placeholder): VPS confidence during scanning is held at this version's own real minimumVpsConfidence config threshold (a real, already-established per-version value) as a stand-in for glare-degraded scanning -- the threshold is real, its attribution to 'glare' is NOT measured."
SYNTH_KB15_V4_6545_FWD,KB15,V4,SYNTHETIC_SUPPORT,1,20260920,20260915_042529_132_V4_GPS_TO_VPS_NORMAL_DEV_72A2,VALID,"WEAK (structural placeholder): two vps_valid=0 dropout episodes use the existing recovery_count column, which is NEVER >0 anywhere in the real 105-trial dataset -- this exercises a defined-but-never-observed mechanism, not a measured crowd-occlusion effect."
SYNTH_KB23_V4_3934_FWD,KB23,V4,SYNTHETIC_SUPPORT,1,20260920,20260915_042529_132_V4_GPS_TO_VPS_NORMAL_DEV_72A2,VALID,"WEAK (structural placeholder): one vps_valid=0 dropout episode, same never-observed recovery_count mechanism as KB15, distinguished from it only by being a single (not recurring) episode per the scenario definition."
SYNTH_KB26_V4_7389_FWD,KB26,V4,SYNTHETIC_SUPPORT,1,20260920,20260915_042529_132_V4_GPS_TO_VPS_NORMAL_DEV_72A2,VALID,"MODERATE: wrong_way_count=1 is this dataset's own real maximum ever recorded (105 real trials, max=1, mean=0.0095) and cadence is slowed -- both real-anchored, but 'help_request'/'trust' measures are NOT_REPRESENTED (no such column exists)."
SYNTH_KB27_V4_4605_FWD,KB27,V4,SYNTHETIC_SUPPORT,1,20260920,20260915_042529_132_V4_GPS_TO_VPS_NORMAL_DEV_72A2,VALID,"MODERATE: wrong_way_count=0 (the real mode/median) and this version's own real fastest-observed cadence (same technique as KB21) -- both real-anchored, but the AR-on/off comparison arm is NOT_REPRESENTED (no such column or comparison condition exists)."
SYNTH_KB29_V4_1852_FWD,KB29,V4,SYNTHETIC_SUPPORT,1,20260920,20260915_042529_132_V4_GPS_TO_VPS_NORMAL_DEV_72A2+20260915_042529_132_V4_GPS_TO_VPS_NORMAL_DEV_72A2,VALID,"STRONG structurally / per-segment: each of the 3 segments (OUT->IN, IN->OUT, OUT->IN) reuses the exact same real-per-version-distribution construction as step6's KB01 and step4's KB02 reverse segment, just chained in one continuous session. Per config.yaml, 'MULTI_HANDOVER' has no direction entry, so the pipeline's own detect_handover correctly returns evaluable=False for this trial -- exactly as spec Section 9 requires (excluded from HSR/FHR denominators), which is why handover_attempts_evaluable=0 in the summary even though 2 handovers structurally occurred."
SYNTH_KB09_V5_8168_FWD,KB09,V5,SYNTHETIC_SUPPORT,1,20260920,20260912_084508_275_V5_GPS_TO_VPS_NORMAL_DEV_ECF7,VALID,STRONG (reuses a real per-version NONE-direction trial's own path in original order; identical construction rigor to step6's KB01)
SYNTH_KB12_V5_3771_FWD,KB12,V5,SYNTHETIC_SUPPORT,1,20260920,20260906_075703_168_V5_GPS_TO_VPS_NORMAL_DEV_4680,VALID,"WEAK (structural placeholder): gps_accuracy_m during the outdoor approach is forced to this dataset's own real worst-ever-recorded value (24.873m, from a real V1 trial) as a stand-in for rain -- the magnitude is real, but its attribution to 'rain' specifically is NOT measured anywhere in this dataset."
SYNTH_KB13_V5_2228_FWD,KB13,V5,SYNTHETIC_SUPPORT,1,20260920,20260906_075703_168_V5_GPS_TO_VPS_NORMAL_DEV_4680,VALID,"WEAK (structural placeholder): VPS confidence during scanning is held at this version's own real minimumVpsConfidence config threshold (a real, already-established per-version value) as a stand-in for glare-degraded scanning -- the threshold is real, its attribution to 'glare' is NOT measured."
SYNTH_KB15_V5_3258_FWD,KB15,V5,SYNTHETIC_SUPPORT,1,20260920,20260906_075703_168_V5_GPS_TO_VPS_NORMAL_DEV_4680,VALID,"WEAK (structural placeholder): two vps_valid=0 dropout episodes use the existing recovery_count column, which is NEVER >0 anywhere in the real 105-trial dataset -- this exercises a defined-but-never-observed mechanism, not a measured crowd-occlusion effect."
SYNTH_KB23_V5_3686_FWD,KB23,V5,SYNTHETIC_SUPPORT,1,20260920,20260906_075703_168_V5_GPS_TO_VPS_NORMAL_DEV_4680,VALID,"WEAK (structural placeholder): one vps_valid=0 dropout episode, same never-observed recovery_count mechanism as KB15, distinguished from it only by being a single (not recurring) episode per the scenario definition."
SYNTH_KB26_V5_3128_FWD,KB26,V5,SYNTHETIC_SUPPORT,1,20260920,20260906_075703_168_V5_GPS_TO_VPS_NORMAL_DEV_4680,VALID,"MODERATE: wrong_way_count=1 is this dataset's own real maximum ever recorded (105 real trials, max=1, mean=0.0095) and cadence is slowed -- both real-anchored, but 'help_request'/'trust' measures are NOT_REPRESENTED (no such column exists)."
SYNTH_KB27_V5_7937_FWD,KB27,V5,SYNTHETIC_SUPPORT,1,20260920,20260906_075703_168_V5_GPS_TO_VPS_NORMAL_DEV_4680,VALID,"MODERATE: wrong_way_count=0 (the real mode/median) and this version's own real fastest-observed cadence (same technique as KB21) -- both real-anchored, but the AR-on/off comparison arm is NOT_REPRESENTED (no such column or comparison condition exists)."
SYNTH_KB29_V5_1159_FWD,KB29,V5,SYNTHETIC_SUPPORT,1,20260920,20260906_075703_168_V5_GPS_TO_VPS_NORMAL_DEV_4680+20260906_075703_168_V5_GPS_TO_VPS_NORMAL_DEV_4680,VALID,"STRONG structurally / per-segment: each of the 3 segments (OUT->IN, IN->OUT, OUT->IN) reuses the exact same real-per-version-distribution construction as step6's KB01 and step4's KB02 reverse segment, just chained in one continuous session. Per config.yaml, 'MULTI_HANDOVER' has no direction entry, so the pipeline's own detect_handover correctly returns evaluable=False for this trial -- exactly as spec Section 9 requires (excluded from HSR/FHR denominators), which is why handover_attempts_evaluable=0 in the summary even though 2 handovers structurally occurred."
SYNTH_KB09_BQ_7814_FWD,KB09,BQ,SYNTHETIC_SUPPORT,1,20260920,20260910_064931_553_BQ_GPS_TO_VPS_NORMAL_DEV_532B,VALID,STRONG (reuses a real per-version NONE-direction trial's own path in original order; identical construction rigor to step6's KB01)
SYNTH_KB12_BQ_8681_FWD,KB12,BQ,SYNTHETIC_SUPPORT,1,20260920,20260915_043945_288_BQ_GPS_TO_VPS_NORMAL_DEV_3951,VALID,"WEAK (structural placeholder): gps_accuracy_m during the outdoor approach is forced to this dataset's own real worst-ever-recorded value (24.873m, from a real V1 trial) as a stand-in for rain -- the magnitude is real, but its attribution to 'rain' specifically is NOT measured anywhere in this dataset."
SYNTH_KB13_BQ_5802_FWD,KB13,BQ,SYNTHETIC_SUPPORT,1,20260920,20260915_043945_288_BQ_GPS_TO_VPS_NORMAL_DEV_3951,VALID,"WEAK (structural placeholder): VPS confidence during scanning is held at this version's own real minimumVpsConfidence config threshold (a real, already-established per-version value) as a stand-in for glare-degraded scanning -- the threshold is real, its attribution to 'glare' is NOT measured."
SYNTH_KB15_BQ_7281_FWD,KB15,BQ,SYNTHETIC_SUPPORT,1,20260920,20260915_043945_288_BQ_GPS_TO_VPS_NORMAL_DEV_3951,VALID,"WEAK (structural placeholder): two vps_valid=0 dropout episodes use the existing recovery_count column, which is NEVER >0 anywhere in the real 105-trial dataset -- this exercises a defined-but-never-observed mechanism, not a measured crowd-occlusion effect."
SYNTH_KB23_BQ_1679_FWD,KB23,BQ,SYNTHETIC_SUPPORT,1,20260920,20260915_043945_288_BQ_GPS_TO_VPS_NORMAL_DEV_3951,VALID,"WEAK (structural placeholder): one vps_valid=0 dropout episode, same never-observed recovery_count mechanism as KB15, distinguished from it only by being a single (not recurring) episode per the scenario definition."
SYNTH_KB26_BQ_7823_FWD,KB26,BQ,SYNTHETIC_SUPPORT,1,20260920,20260915_043945_288_BQ_GPS_TO_VPS_NORMAL_DEV_3951,VALID,"MODERATE: wrong_way_count=1 is this dataset's own real maximum ever recorded (105 real trials, max=1, mean=0.0095) and cadence is slowed -- both real-anchored, but 'help_request'/'trust' measures are NOT_REPRESENTED (no such column exists)."
SYNTH_KB27_BQ_8655_FWD,KB27,BQ,SYNTHETIC_SUPPORT,1,20260920,20260915_043945_288_BQ_GPS_TO_VPS_NORMAL_DEV_3951,VALID,"MODERATE: wrong_way_count=0 (the real mode/median) and this version's own real fastest-observed cadence (same technique as KB21) -- both real-anchored, but the AR-on/off comparison arm is NOT_REPRESENTED (no such column or comparison condition exists)."
SYNTH_KB29_BQ_4032_FWD,KB29,BQ,SYNTHETIC_SUPPORT,1,20260920,20260915_043945_288_BQ_GPS_TO_VPS_NORMAL_DEV_3951+20260906_075908_669_BQ_GPS_TO_VPS_NORMAL_DEV_A18D,VALID,"STRONG structurally / per-segment: each of the 3 segments (OUT->IN, IN->OUT, OUT->IN) reuses the exact same real-per-version-distribution construction as step6's KB01 and step4's KB02 reverse segment, just chained in one continuous session. Per config.yaml, 'MULTI_HANDOVER' has no direction entry, so the pipeline's own detect_handover correctly returns evaluable=False for this trial -- exactly as spec Section 9 requires (excluded from HSR/FHR denominators), which is why handover_attempts_evaluable=0 in the summary even though 2 handovers structurally occurred."
SYNTH_KB09_BT_3772_FWD,KB09,BT,SYNTHETIC_SUPPORT,1,20260920,20260910_064543_930_BT_GPS_TO_VPS_NORMAL_DEV_9325,VALID,STRONG (reuses a real per-version NONE-direction trial's own path in original order; identical construction rigor to step6's KB01)
SYNTH_KB12_BT_3403_FWD,KB12,BT,SYNTHETIC_SUPPORT,1,20260920,20260906_080152_673_BT_GPS_TO_VPS_NORMAL_DEV_4A91,VALID,"WEAK (structural placeholder): gps_accuracy_m during the outdoor approach is forced to this dataset's own real worst-ever-recorded value (24.873m, from a real V1 trial) as a stand-in for rain -- the magnitude is real, but its attribution to 'rain' specifically is NOT measured anywhere in this dataset."
SYNTH_KB13_BT_6686_FWD,KB13,BT,SYNTHETIC_SUPPORT,1,20260920,20260906_080152_673_BT_GPS_TO_VPS_NORMAL_DEV_4A91,VALID,"WEAK (structural placeholder): VPS confidence during scanning is held at this version's own real minimumVpsConfidence config threshold (a real, already-established per-version value) as a stand-in for glare-degraded scanning -- the threshold is real, its attribution to 'glare' is NOT measured."
SYNTH_KB15_BT_4671_FWD,KB15,BT,SYNTHETIC_SUPPORT,1,20260920,20260906_080152_673_BT_GPS_TO_VPS_NORMAL_DEV_4A91,VALID,"WEAK (structural placeholder): two vps_valid=0 dropout episodes use the existing recovery_count column, which is NEVER >0 anywhere in the real 105-trial dataset -- this exercises a defined-but-never-observed mechanism, not a measured crowd-occlusion effect."
SYNTH_KB23_BT_1327_FWD,KB23,BT,SYNTHETIC_SUPPORT,1,20260920,20260906_080152_673_BT_GPS_TO_VPS_NORMAL_DEV_4A91,VALID,"WEAK (structural placeholder): one vps_valid=0 dropout episode, same never-observed recovery_count mechanism as KB15, distinguished from it only by being a single (not recurring) episode per the scenario definition."
SYNTH_KB26_BT_9972_FWD,KB26,BT,SYNTHETIC_SUPPORT,1,20260920,20260906_080152_673_BT_GPS_TO_VPS_NORMAL_DEV_4A91,VALID,"MODERATE: wrong_way_count=1 is this dataset's own real maximum ever recorded (105 real trials, max=1, mean=0.0095) and cadence is slowed -- both real-anchored, but 'help_request'/'trust' measures are NOT_REPRESENTED (no such column exists)."
SYNTH_KB27_BT_1286_FWD,KB27,BT,SYNTHETIC_SUPPORT,1,20260920,20260906_080152_673_BT_GPS_TO_VPS_NORMAL_DEV_4A91,VALID,"MODERATE: wrong_way_count=0 (the real mode/median) and this version's own real fastest-observed cadence (same technique as KB21) -- both real-anchored, but the AR-on/off comparison arm is NOT_REPRESENTED (no such column or comparison condition exists)."
SYNTH_KB29_BT_8842_FWD,KB29,BT,SYNTHETIC_SUPPORT,1,20260920,20260906_080152_673_BT_GPS_TO_VPS_NORMAL_DEV_4A91+20260912_063230_287_BT_GPS_TO_VPS_NORMAL_DEV_7870,VALID,"STRONG structurally / per-segment: each of the 3 segments (OUT->IN, IN->OUT, OUT->IN) reuses the exact same real-per-version-distribution construction as step6's KB01 and step4's KB02 reverse segment, just chained in one continuous session. Per config.yaml, 'MULTI_HANDOVER' has no direction entry, so the pipeline's own detect_handover correctly returns evaluable=False for this trial -- exactly as spec Section 9 requires (excluded from HSR/FHR denominators), which is why handover_attempts_evaluable=0 in the summary even though 2 handovers structurally occurred."
