session_id,scenario_id,harmony_version,direction,data_provenance,synthetic,generation_seed,template_session_id_used,validation_status,generation_rationale,validation_notes
SYNTH_KB21_V2_3348_FWD,KB21,V2,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260912_101227_816_V2_GPS_TO_VPS_NORMAL_DEV_E9C2,VALID,"Identical structure to KB01, but every phase uses this version's own real 5th-percentile (fastest observed) inter-sample interval instead of the median -- a real, previously-measured cadence, not an invented speed field -- so the same real distance is covered in less elapsed time.",
SYNTH_KB28_V2_7947_FWD,KB28,V2,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260912_101227_816_V2_GPS_TO_VPS_NORMAL_DEV_E9C2,VALID_WITH_WARNINGS,"Handover clock starts normally (reliability_state->VpsScanning) and vps_state->StartingVps fires, but no Scanning/IndoorLocalized/fallback event ever occurs before reliability_state reverts VpsScanning->OutdoorGps ~2-4s later (matching the real ~2-4s 'navigation cancelled during entry' flicker already observed in 11 real trials, here made the trial's terminal outcome instead of a transient blip). Per the pipeline's own detect_handover logic this yields evaluable=False (NOT_EVALUABLE, reason='VPS attempt started but neither succeeded nor timed out'), so it is correctly EXCLUDED from the HSR/FHR denominator rather than counted as an ordinary failure.","[TRIAL_NOT_COMPLETED] summary.completed=0, end_reason=navigation_cancelled."
SYNTH_KB01_V3_4565_FWD,KB01,V3,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260912_032259_625_V3_GPS_TO_VPS_NORMAL_DEV_D0DA,VALID,"Standard OUT->IN handover, no special condition; single clean VPS attempt reusing the version's own real per-version distributions and this template trial's real outdoor/indoor geometry in original order.",
SYNTH_KB04_V3_1702_FWD,KB04,V3,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260912_032259_625_V3_GPS_TO_VPS_NORMAL_DEV_D0DA,VALID,"Attempt 1 (StartingVps) never reaches Scanning at all -- represents an obstructed/misdirected first scan getting no valid frame -- abandoned after ~2.2s; attempt 2 is a normal clean retry that succeeds. Overall handover_success=1 per the pipeline's own multi-attempt detection logic (a later successful attempt overrides an earlier unresolved one), with elevated total latency reflecting the retry.",
SYNTH_KB07_V3_3028_FWD,KB07,V3,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260912_032259_625_V3_GPS_TO_VPS_NORMAL_DEV_D0DA,VALID,"A poor/poor/ONE-brief-good-frame/poor/poor confidence pattern (never sustained) is logged first via existing quality_threshold_passed/failed events and vps_confidence/vps_dwell_gate_passed sample columns, followed by a dwell_reset; only after confidence is then held continuously above minimumVpsConfidence for >= this version's own real vpsDwellSeconds does dwell_passed fire and vps_state->IndoorLocalized accept.",
SYNTH_KB08_V3_8524_FWD,KB08,V3,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260912_032259_625_V3_GPS_TO_VPS_NORMAL_DEV_D0DA,VALID,"Clean single-attempt success, but the accepted VPS pose is set to this template trial's own real FARTHEST indoor coordinate (rather than the entrance-adjacent one KB01 uses) -- a genuinely larger real position/heading delta across the handover boundary, not an invented jump magnitude.",
SYNTH_KB21_V3_7039_FWD,KB21,V3,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260912_032259_625_V3_GPS_TO_VPS_NORMAL_DEV_D0DA,VALID,"Identical structure to KB01, but every phase uses this version's own real 5th-percentile (fastest observed) inter-sample interval instead of the median -- a real, previously-measured cadence, not an invented speed field -- so the same real distance is covered in less elapsed time.",
SYNTH_KB28_V3_6467_FWD,KB28,V3,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260912_032259_625_V3_GPS_TO_VPS_NORMAL_DEV_D0DA,VALID_WITH_WARNINGS,"Handover clock starts normally (reliability_state->VpsScanning) and vps_state->StartingVps fires, but no Scanning/IndoorLocalized/fallback event ever occurs before reliability_state reverts VpsScanning->OutdoorGps ~2-4s later (matching the real ~2-4s 'navigation cancelled during entry' flicker already observed in 11 real trials, here made the trial's terminal outcome instead of a transient blip). Per the pipeline's own detect_handover logic this yields evaluable=False (NOT_EVALUABLE, reason='VPS attempt started but neither succeeded nor timed out'), so it is correctly EXCLUDED from the HSR/FHR denominator rather than counted as an ordinary failure.","[TRIAL_NOT_COMPLETED] summary.completed=0, end_reason=navigation_cancelled."
SYNTH_KB01_V4_2725_FWD,KB01,V4,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260915_042529_132_V4_GPS_TO_VPS_NORMAL_DEV_72A2,VALID,"Standard OUT->IN handover, no special condition; single clean VPS attempt reusing the version's own real per-version distributions and this template trial's real outdoor/indoor geometry in original order.",
SYNTH_KB04_V4_8553_FWD,KB04,V4,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260915_042529_132_V4_GPS_TO_VPS_NORMAL_DEV_72A2,VALID,"Attempt 1 (StartingVps) never reaches Scanning at all -- represents an obstructed/misdirected first scan getting no valid frame -- abandoned after ~2.2s; attempt 2 is a normal clean retry that succeeds. Overall handover_success=1 per the pipeline's own multi-attempt detection logic (a later successful attempt overrides an earlier unresolved one), with elevated total latency reflecting the retry.",
SYNTH_KB07_V4_1350_FWD,KB07,V4,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260915_042529_132_V4_GPS_TO_VPS_NORMAL_DEV_72A2,VALID,"A poor/poor/ONE-brief-good-frame/poor/poor confidence pattern (never sustained) is logged first via existing quality_threshold_passed/failed events and vps_confidence/vps_dwell_gate_passed sample columns, followed by a dwell_reset; only after confidence is then held continuously above minimumVpsConfidence for >= this version's own real vpsDwellSeconds does dwell_passed fire and vps_state->IndoorLocalized accept.",
SYNTH_KB08_V4_3753_FWD,KB08,V4,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260915_042529_132_V4_GPS_TO_VPS_NORMAL_DEV_72A2,VALID,"Clean single-attempt success, but the accepted VPS pose is set to this template trial's own real FARTHEST indoor coordinate (rather than the entrance-adjacent one KB01 uses) -- a genuinely larger real position/heading delta across the handover boundary, not an invented jump magnitude.",
SYNTH_KB21_V4_5436_FWD,KB21,V4,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260915_042529_132_V4_GPS_TO_VPS_NORMAL_DEV_72A2,VALID,"Identical structure to KB01, but every phase uses this version's own real 5th-percentile (fastest observed) inter-sample interval instead of the median -- a real, previously-measured cadence, not an invented speed field -- so the same real distance is covered in less elapsed time.",
SYNTH_KB28_V4_6180_FWD,KB28,V4,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260915_042529_132_V4_GPS_TO_VPS_NORMAL_DEV_72A2,VALID_WITH_WARNINGS,"Handover clock starts normally (reliability_state->VpsScanning) and vps_state->StartingVps fires, but no Scanning/IndoorLocalized/fallback event ever occurs before reliability_state reverts VpsScanning->OutdoorGps ~2-4s later (matching the real ~2-4s 'navigation cancelled during entry' flicker already observed in 11 real trials, here made the trial's terminal outcome instead of a transient blip). Per the pipeline's own detect_handover logic this yields evaluable=False (NOT_EVALUABLE, reason='VPS attempt started but neither succeeded nor timed out'), so it is correctly EXCLUDED from the HSR/FHR denominator rather than counted as an ordinary failure.","[TRIAL_NOT_COMPLETED] summary.completed=0, end_reason=navigation_cancelled."
SYNTH_KB01_V5_8420_FWD,KB01,V5,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260906_075703_168_V5_GPS_TO_VPS_NORMAL_DEV_4680,VALID,"Standard OUT->IN handover, no special condition; single clean VPS attempt reusing the version's own real per-version distributions and this template trial's real outdoor/indoor geometry in original order.",
SYNTH_KB04_V5_4822_FWD,KB04,V5,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260906_075703_168_V5_GPS_TO_VPS_NORMAL_DEV_4680,VALID,"Attempt 1 (StartingVps) never reaches Scanning at all -- represents an obstructed/misdirected first scan getting no valid frame -- abandoned after ~2.2s; attempt 2 is a normal clean retry that succeeds. Overall handover_success=1 per the pipeline's own multi-attempt detection logic (a later successful attempt overrides an earlier unresolved one), with elevated total latency reflecting the retry.",
SYNTH_KB07_V5_3045_FWD,KB07,V5,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260906_075703_168_V5_GPS_TO_VPS_NORMAL_DEV_4680,VALID,"A poor/poor/ONE-brief-good-frame/poor/poor confidence pattern (never sustained) is logged first via existing quality_threshold_passed/failed events and vps_confidence/vps_dwell_gate_passed sample columns, followed by a dwell_reset; only after confidence is then held continuously above minimumVpsConfidence for >= this version's own real vpsDwellSeconds does dwell_passed fire and vps_state->IndoorLocalized accept.",
SYNTH_KB08_V5_6545_FWD,KB08,V5,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260906_075703_168_V5_GPS_TO_VPS_NORMAL_DEV_4680,VALID,"Clean single-attempt success, but the accepted VPS pose is set to this template trial's own real FARTHEST indoor coordinate (rather than the entrance-adjacent one KB01 uses) -- a genuinely larger real position/heading delta across the handover boundary, not an invented jump magnitude.",
SYNTH_KB21_V5_3934_FWD,KB21,V5,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260906_075703_168_V5_GPS_TO_VPS_NORMAL_DEV_4680,VALID,"Identical structure to KB01, but every phase uses this version's own real 5th-percentile (fastest observed) inter-sample interval instead of the median -- a real, previously-measured cadence, not an invented speed field -- so the same real distance is covered in less elapsed time.",
SYNTH_KB28_V5_7389_FWD,KB28,V5,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260906_075703_168_V5_GPS_TO_VPS_NORMAL_DEV_4680,VALID_WITH_WARNINGS,"Handover clock starts normally (reliability_state->VpsScanning) and vps_state->StartingVps fires, but no Scanning/IndoorLocalized/fallback event ever occurs before reliability_state reverts VpsScanning->OutdoorGps ~2-4s later (matching the real ~2-4s 'navigation cancelled during entry' flicker already observed in 11 real trials, here made the trial's terminal outcome instead of a transient blip). Per the pipeline's own detect_handover logic this yields evaluable=False (NOT_EVALUABLE, reason='VPS attempt started but neither succeeded nor timed out'), so it is correctly EXCLUDED from the HSR/FHR denominator rather than counted as an ordinary failure.","[TRIAL_NOT_COMPLETED] summary.completed=0, end_reason=navigation_cancelled."
SYNTH_KB01_BQ_4605_FWD,KB01,BQ,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260915_043945_288_BQ_GPS_TO_VPS_NORMAL_DEV_3951,VALID,"Standard OUT->IN handover, no special condition; single clean VPS attempt reusing the version's own real per-version distributions and this template trial's real outdoor/indoor geometry in original order.",
SYNTH_KB04_BQ_1852_FWD,KB04,BQ,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260915_043945_288_BQ_GPS_TO_VPS_NORMAL_DEV_3951,VALID,"Attempt 1 (StartingVps) never reaches Scanning at all -- represents an obstructed/misdirected first scan getting no valid frame -- abandoned after ~2.2s; attempt 2 is a normal clean retry that succeeds. Overall handover_success=1 per the pipeline's own multi-attempt detection logic (a later successful attempt overrides an earlier unresolved one), with elevated total latency reflecting the retry.",
SYNTH_KB07_BQ_8168_FWD,KB07,BQ,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260915_043945_288_BQ_GPS_TO_VPS_NORMAL_DEV_3951,VALID,"A poor/poor/ONE-brief-good-frame/poor/poor confidence pattern (never sustained) is logged first via existing quality_threshold_passed/failed events and vps_confidence/vps_dwell_gate_passed sample columns, followed by a dwell_reset; only after confidence is then held continuously above minimumVpsConfidence for >= this version's own real vpsDwellSeconds does dwell_passed fire and vps_state->IndoorLocalized accept.",
SYNTH_KB08_BQ_3771_FWD,KB08,BQ,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260915_043945_288_BQ_GPS_TO_VPS_NORMAL_DEV_3951,VALID,"Clean single-attempt success, but the accepted VPS pose is set to this template trial's own real FARTHEST indoor coordinate (rather than the entrance-adjacent one KB01 uses) -- a genuinely larger real position/heading delta across the handover boundary, not an invented jump magnitude.",
SYNTH_KB21_BQ_2228_FWD,KB21,BQ,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260915_043945_288_BQ_GPS_TO_VPS_NORMAL_DEV_3951,VALID,"Identical structure to KB01, but every phase uses this version's own real 5th-percentile (fastest observed) inter-sample interval instead of the median -- a real, previously-measured cadence, not an invented speed field -- so the same real distance is covered in less elapsed time.",
SYNTH_KB28_BQ_3258_FWD,KB28,BQ,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260915_043945_288_BQ_GPS_TO_VPS_NORMAL_DEV_3951,VALID_WITH_WARNINGS,"Handover clock starts normally (reliability_state->VpsScanning) and vps_state->StartingVps fires, but no Scanning/IndoorLocalized/fallback event ever occurs before reliability_state reverts VpsScanning->OutdoorGps ~2-4s later (matching the real ~2-4s 'navigation cancelled during entry' flicker already observed in 11 real trials, here made the trial's terminal outcome instead of a transient blip). Per the pipeline's own detect_handover logic this yields evaluable=False (NOT_EVALUABLE, reason='VPS attempt started but neither succeeded nor timed out'), so it is correctly EXCLUDED from the HSR/FHR denominator rather than counted as an ordinary failure.","[TRIAL_NOT_COMPLETED] summary.completed=0, end_reason=navigation_cancelled."
SYNTH_KB01_BT_3686_FWD,KB01,BT,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260906_080152_673_BT_GPS_TO_VPS_NORMAL_DEV_4A91,VALID,"Standard OUT->IN handover, no special condition; single clean VPS attempt reusing the version's own real per-version distributions and this template trial's real outdoor/indoor geometry in original order.",
SYNTH_KB04_BT_3128_FWD,KB04,BT,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260906_080152_673_BT_GPS_TO_VPS_NORMAL_DEV_4A91,VALID,"Attempt 1 (StartingVps) never reaches Scanning at all -- represents an obstructed/misdirected first scan getting no valid frame -- abandoned after ~2.2s; attempt 2 is a normal clean retry that succeeds. Overall handover_success=1 per the pipeline's own multi-attempt detection logic (a later successful attempt overrides an earlier unresolved one), with elevated total latency reflecting the retry.",
SYNTH_KB07_BT_7937_FWD,KB07,BT,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260906_080152_673_BT_GPS_TO_VPS_NORMAL_DEV_4A91,VALID,"A poor/poor/ONE-brief-good-frame/poor/poor confidence pattern (never sustained) is logged first via existing quality_threshold_passed/failed events and vps_confidence/vps_dwell_gate_passed sample columns, followed by a dwell_reset; only after confidence is then held continuously above minimumVpsConfidence for >= this version's own real vpsDwellSeconds does dwell_passed fire and vps_state->IndoorLocalized accept.",
SYNTH_KB08_BT_1159_FWD,KB08,BT,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260906_080152_673_BT_GPS_TO_VPS_NORMAL_DEV_4A91,VALID,"Clean single-attempt success, but the accepted VPS pose is set to this template trial's own real FARTHEST indoor coordinate (rather than the entrance-adjacent one KB01 uses) -- a genuinely larger real position/heading delta across the handover boundary, not an invented jump magnitude.",
SYNTH_KB21_BT_7814_FWD,KB21,BT,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260906_080152_673_BT_GPS_TO_VPS_NORMAL_DEV_4A91,VALID,"Identical structure to KB01, but every phase uses this version's own real 5th-percentile (fastest observed) inter-sample interval instead of the median -- a real, previously-measured cadence, not an invented speed field -- so the same real distance is covered in less elapsed time.",
SYNTH_KB28_BT_8681_FWD,KB28,BT,GPS_TO_VPS,SYNTHETIC_SUPPORT,1,20260920,20260906_080152_673_BT_GPS_TO_VPS_NORMAL_DEV_4A91,VALID_WITH_WARNINGS,"Handover clock starts normally (reliability_state->VpsScanning) and vps_state->StartingVps fires, but no Scanning/IndoorLocalized/fallback event ever occurs before reliability_state reverts VpsScanning->OutdoorGps ~2-4s later (matching the real ~2-4s 'navigation cancelled during entry' flicker already observed in 11 real trials, here made the trial's terminal outcome instead of a transient blip). Per the pipeline's own detect_handover logic this yields evaluable=False (NOT_EVALUABLE, reason='VPS attempt started but neither succeeded nor timed out'), so it is correctly EXCLUDED from the HSR/FHR denominator rather than counted as an ordinary failure.","[TRIAL_NOT_COMPLETED] summary.completed=0, end_reason=navigation_cancelled."
